putative enhancer	module assignment
chr11:115412736-115413235|cCREs47919	M1
chr11:115413366-115413865|cCREs47920	M1
chr11:115427933-115428432|cCREs47923	M1
chr11:116319108-116319607|cCREs48046	M1
chr11:116490332-116490831|cCREs48076	M1
chr11:117358218-117358717|cCREs48235	M1
chr11:117407714-117408213|cCREs48243	M1
chr11:117598185-117598684|cCREs48276	M1
chr11:117611148-117611647|cCREs48278	M1
chr11:118885250-118885749|cCREs48504	M1
chr11:118909632-118910131|cCREs48512	M1
chr11:119053446-119053945|cCREs48528	M1
chr11:119083799-119084298|cCREs48533	M1
chr11:119507897-119508396|cCREs48582	M1
chr11:119515950-119516449|cCREs48584	M1
chr11:119548805-119549304|cCREs48592	M1
chr11:119796456-119796955|cCREs48638	M1
chr11:119934897-119935396|cCREs48671	M1
chr11:120189874-120190373|cCREs48716	M1
chr11:120231512-120232011|cCREs48724	M1
chr11:120240989-120241488|cCREs48727	M1
chr11:120261552-120262051|cCREs48732	M1
chr11:120305303-120305802|cCREs48743	M1
chr11:120310856-120311355|cCREs48744	M1
chr11:120316129-120316628|cCREs48746	M1
chr11:120350354-120350853|cCREs48748	M1
chr11:121418084-121418583|cCREs48882	M1
chr11:121703326-121703825|cCREs48917	M1
chr11:12473561-12474060|cCREs35777	M1
chr11:12532343-12532842|cCREs35785	M1
chr1:120072380-120072879|cCREs11272	M1
chr1:120207623-120208122|cCREs11297	M1
chr1:121527165-121527664|cCREs11423	M1
chr11:22200027-22200526|cCREs36601	M1
chr11:23008318-23008817|cCREs36715	M1
chr1:131074624-131075123|cCREs12343	M1
chr11:3123918-3124417|cCREs34701	M1
chr1:131331246-131331745|cCREs12403	M1
chr1:132383979-132384478|cCREs12589	M1
chr1:132758786-132759285|cCREs12673	M1
chr11:32941441-32941940|cCREs37764	M1
chr1:133815803-133816302|cCREs12817	M1
chr11:35160856-35161355|cCREs38047	M1
chr11:35178211-35178710|cCREs38051	M1
chr11:35445531-35446030|cCREs38101	M1
chr1:135585228-135585727|cCREs13124	M1
chr11:35680017-35680516|cCREs38144	M1
chr1:135946430-135946929|cCREs13213	M1
chr11:35985963-35986462|cCREs38201	M1
chr1:136061931-136062430|cCREs13230	M1
chr1:136128477-136128976|cCREs13245	M1
chr1:136418531-136419030|cCREs13303	M1
chr1:136462465-136462964|cCREs13308	M1
chr11:3741322-3741821|cCREs34781	M1
chr11:3850359-3850858|cCREs34803	M1
chr11:40692648-40693147|cCREs38566	M1
chr11:4105630-4106129|cCREs34832	M1
chr11:4116748-4117247|cCREs34835	M1
chr11:42420627-42421126|cCREs38731	M1
chr11:46201711-46202210|cCREs39225	M1
chr11:46219545-46220044|cCREs39230	M1
chr11:46286867-46287366|cCREs39250	M1
chr11:46298946-46299445|cCREs39253	M1
chr11:46301674-46302173|cCREs39254	M1
chr11:46313998-46314497|cCREs39259	M1
chr11:46314583-46315082|cCREs39260	M1
chr11:46431217-46431716|cCREs39271	M1
chr11:49250496-49250995|cCREs39546	M1
chr1:149891260-149891759|cCREs14337	M1
chr11:50236688-50237187|cCREs39680	M1
chr11:50378420-50378919|cCREs39706	M1
chr11:5046379-5046878|cCREs34971	M1
chr11:5052540-5053039|cCREs34974	M1
chr11:51756445-51756944|cCREs39867	M1
chr11:51856358-51856857|cCREs39883	M1
chr11:51858607-51859106|cCREs39886	M1
chr1:152640727-152641226|cCREs14686	M1
chr11:53478622-53479121|cCREs40099	M1
chr1:153665594-153666093|cCREs14864	M1
chr1:153697768-153698267|cCREs14870	M1
chr11:53763531-53764030|cCREs40139	M1
chr11:54112490-54112989|cCREs40193	M1
chr11:57962443-57962942|cCREs40665	M1
chr11:59305077-59305576|cCREs40803	M1
chr11:59338815-59339314|cCREs40812	M1
chr11:59354848-59355347|cCREs40815	M1
chr11:59662238-59662737|cCREs40856	M1
chr11:60139497-60139996|cCREs40929	M1
chr11:60537536-60538035|cCREs40993	M1
chr11:61430772-61431271|cCREs41092	M1
chr11:61452800-61453299|cCREs41098	M1
chr11:62602742-62603241|cCREs41252	M1
chr1:164454865-164455364|cCREs16278	M1
chr11:65135283-65135782|cCREs41525	M1
chr1:166255396-166255895|cCREs16547	M1
chr1:166308922-166309421|cCREs16569	M1
chr11:68853039-68853538|cCREs42028	M1
chr11:68939792-68940291|cCREs42033	M1
chr11:69035982-69036481|cCREs42048	M1
chr11:69040978-69041477|cCREs42051	M1
chr11:69041712-69042211|cCREs42052	M1
chr11:69062992-69063491|cCREs42055	M1
chr11:69086508-69087007|cCREs42059	M1
chr11:69098763-69099262|cCREs42064	M1
chr11:69099954-69100453|cCREs42065	M1
chr11:69111920-69112419|cCREs42068	M1
chr11:69118032-69118531|cCREs42069	M1
chr11:69235292-69235791|cCREs42088	M1
chr11:69401361-69401860|cCREs42110	M1
chr11:69408656-69409155|cCREs42111	M1
chr11:69411218-69411717|cCREs42114	M1
chr11:69418853-69419352|cCREs42121	M1
chr11:69546434-69546933|cCREs42137	M1
chr11:69581440-69581939|cCREs42144	M1
chr11:69803840-69804339|cCREs42176	M1
chr11:69997292-69997791|cCREs42201	M1
chr11:70020822-70021321|cCREs42207	M1
chr11:70021585-70022084|cCREs42208	M1
chr1:17060690-17061189|cCREs1141	M1
chr1:171101913-171102412|cCREs17263	M1
chr11:71750986-71751485|cCREs42379	M1
chr1:171788433-171788932|cCREs17366	M1
chr1:172064842-172065341|cCREs17407	M1
chr1:172320106-172320605|cCREs17461	M1
chr1:172327813-172328312|cCREs17464	M1
chr11:74837872-74838371|cCREs42709	M1
chr11:74838494-74838993|cCREs42710	M1
chr11:74981541-74982040|cCREs42730	M1
chr11:75170411-75170910|cCREs42757	M1
chr11:75172233-75172732|cCREs42758	M1
chr11:75173177-75173676|cCREs42759	M1
chr11:75173701-75174200|cCREs42760	M1
chr11:76945667-76946166|cCREs43015	M1
chr11:77348216-77348715|cCREs43044	M1
chr11:77850405-77850904|cCREs43119	M1
chr11:77850935-77851434|cCREs43120	M1
chr11:77965469-77965968|cCREs43142	M1
chr11:78490876-78491375|cCREs43205	M1
chr1:178527269-178527768|cCREs18154	M1
chr1:178530637-178531136|cCREs18156	M1
chr11:79183021-79183520|cCREs43308	M1
chr11:82434866-82435365|cCREs43759	M1
chr1:182539405-182539904|cCREs18722	M1
chr11:83440427-83440926|cCREs43883	M1
chr11:84179420-84179919|cCREs43969	M1
chr11:84180222-84180721|cCREs43970	M1
chr11:86920588-86921087|cCREs44238	M1
chr11:87422563-87423062|cCREs44304	M1
chr11:87442726-87443225|cCREs44307	M1
chr11:87578354-87578853|cCREs44324	M1
chr11:87764603-87765102|cCREs44356	M1
chr11:88087060-88087559|cCREs44391	M1
chr11:88099101-88099600|cCREs44393	M1
chr11:90365001-90365500|cCREs44721	M1
chr11:90417964-90418463|cCREs44733	M1
chr11:90697485-90697984|cCREs44780	M1
chr11:90864103-90864602|cCREs44794	M1
chr1:190910388-190910887|cCREs19732	M1
chr1:190928519-190929018|cCREs19736	M1
chr1:193087344-193087843|cCREs20086	M1
chr11:93099093-93099592|cCREs44903	M1
chr11:93101158-93101657|cCREs44904	M1
chr1:193368207-193368706|cCREs20145	M1
chr11:93408060-93408559|cCREs44937	M1
chr11:94160514-94161013|cCREs45047	M1
chr11:94236179-94236678|cCREs45061	M1
chr1:194614061-194614560|cCREs20310	M1
chr1:194881659-194882158|cCREs20359	M1
chr1:194885185-194885684|cCREs20360	M1
chr11:94979020-94979519|cCREs45163	M1
chr11:94989733-94990232|cCREs45166	M1
chr11:96862008-96862507|cCREs45358	M1
chr11:96977929-96978428|cCREs45381	M1
chr11:97401201-97401700|cCREs45440	M1
chr11:97450061-97450560|cCREs45454	M1
chr11:97547053-97547552|cCREs45476	M1
chr11:97660294-97660793|cCREs45500	M1
chr11:97800199-97800698|cCREs45523	M1
chr11:97987633-97988132|cCREs45549	M1
chr11:97988176-97988675|cCREs45550	M1
chr11:97988824-97989323|cCREs45551	M1
chr11:98019046-98019545|cCREs45557	M1
chr11:98270063-98270562|cCREs45593	M1
chr11:98313838-98314337|cCREs45600	M1
chr11:98369433-98369932|cCREs45617	M1
chr11:98788983-98789482|cCREs45667	M1
chr11:99111258-99111757|cCREs45717	M1
chr11:99121246-99121745|cCREs45720	M1
chr12:100899361-100899860|cCREs58871	M1
chr12:102139824-102140323|cCREs58961	M1
chr12:105962791-105963290|cCREs59485	M1
chr12:108328037-108328536|cCREs59771	M1
chr12:111687831-111688330|cCREs60208	M1
chr12:112511179-112511678|cCREs60343	M1
chr12:112586203-112586702|cCREs60360	M1
chr12:112594996-112595495|cCREs60364	M1
chr12:112617289-112617788|cCREs60369	M1
chr12:112693567-112694066|cCREs60387	M1
chr12:112722002-112722501|cCREs60390	M1
chr12:113017078-113017577|cCREs60442	M1
chr12:113187701-113188200|cCREs60472	M1
chr12:113222146-113222645|cCREs60477	M1
chr12:118984948-118985447|cCREs60839	M1
chr12:16856115-16856614|cCREs50583	M1
chr12:17101907-17102406|cCREs50624	M1
chr12:17140568-17141067|cCREs50629	M1
chr12:17157737-17158236|cCREs50634	M1
chr12:17170484-17170983|cCREs50638	M1
chr12:17173492-17173991|cCREs50639	M1
chr12:17174224-17174723|cCREs50640	M1
chr12:17253153-17253652|cCREs50657	M1
chr12:21140296-21140795|cCREs50752	M1
chr12:26180956-26181455|cCREs51075	M1
chr12:28620936-28621435|cCREs51313	M1
chr12:28700318-28700817|cCREs51326	M1
chr12:28700846-28701345|cCREs51327	M1
chr12:28701416-28701915|cCREs51328	M1
chr12:28710924-28711423|cCREs51331	M1
chr12:28711450-28711949|cCREs51332	M1
chr12:28775694-28776193|cCREs51344	M1
chr12:28784471-28784970|cCREs51346	M1
chr12:28793781-28794280|cCREs51348	M1
chr12:28922350-28922849|cCREs51374	M1
chr12:28974570-28975069|cCREs51385	M1
chr12:31967694-31968193|cCREs51798	M1
chr12:3235274-3235773|cCREs48929	M1
chr12:3855736-3856235|cCREs49030	M1
chr1:24613365-24613864|cCREs1833	M1
chr1:24614977-24615476|cCREs1835	M1
chr12:5119849-5120348|cCREs49217	M1
chr12:53252636-53253135|cCREs53894	M1
chr12:53253491-53253990|cCREs53895	M1
chr12:58213504-58214003|cCREs54334	M1
chr12:58426885-58427384|cCREs54349	M1
chr12:59131322-59131821|cCREs54424	M1
chr12:69361428-69361927|cCREs55017	M1
chr12:70043471-70043970|cCREs55108	M1
chr12:70119149-70119648|cCREs55126	M1
chr12:70262342-70262841|cCREs55153	M1
chr12:70281073-70281572|cCREs55160	M1
chr12:70302436-70302935|cCREs55168	M1
chr12:75077242-75077741|cCREs55814	M1
chr12:75529537-75530036|cCREs55870	M1
chr12:76371033-76371532|cCREs55964	M1
chr12:81199732-81200231|cCREs56603	M1
chr12:83632032-83632531|cCREs56954	M1
chr12:84589891-84590390|cCREs57081	M1
chr12:85280389-85280888|cCREs57173	M1
chr12:85472099-85472598|cCREs57193	M1
chr12:85486035-85486534|cCREs57196	M1
chr12:86076442-86076941|cCREs57291	M1
chr12:86769151-86769650|cCREs57375	M1
chr12:86801331-86801830|cCREs57387	M1
chr12:86816293-86816792|cCREs57394	M1
chr12:86824028-86824527|cCREs57396	M1
chr12:86856885-86857384|cCREs57405	M1
chr12:86867750-86868249|cCREs57409	M1
chr12:86893979-86894478|cCREs57414	M1
chr12:86911634-86912133|cCREs57419	M1
chr12:86974736-86975235|cCREs57437	M1
chr12:86983605-86984104|cCREs57440	M1
chr12:86986668-86987167|cCREs57442	M1
chr13:104518358-104518857|cCREs71662	M1
chr13:107114014-107114513|cCREs71957	M1
chr13:16355437-16355936|cCREs62095	M1
chr1:32301444-32301943|cCREs2318	M1
chr13:34149216-34149715|cCREs63927	M1
chr13:36368201-36368700|cCREs64249	M1
chr13:36444804-36445303|cCREs64264	M1
chr13:36893877-36894376|cCREs64325	M1
chr1:33906110-33906609|cCREs2487	M1
chr13:42052820-42053319|cCREs64886	M1
chr13:43230281-43230780|cCREs65093	M1
chr13:46253865-46254364|cCREs65592	M1
chr13:47152476-47152975|cCREs65731	M1
chr13:48545724-48546223|cCREs65867	M1
chr13:51792134-51792633|cCREs66201	M1
chr13:51847982-51848481|cCREs66216	M1
chr13:52275389-52275888|cCREs66288	M1
chr13:52445711-52446210|cCREs66316	M1
chr13:54113905-54114404|cCREs66538	M1
chr13:54269844-54270343|cCREs66577	M1
chr13:54303276-54303775|cCREs66589	M1
chr13:54372878-54373377|cCREs66603	M1
chr13:54385201-54385700|cCREs66605	M1
chr13:54687184-54687683|cCREs66641	M1
chr13:54758445-54758944|cCREs66651	M1
chr13:55211496-55211995|cCREs66718	M1
chr13:55312063-55312562|cCREs66720	M1
chr13:55471508-55472007|cCREs66751	M1
chr13:59557227-59557726|cCREs67315	M1
chr1:36303468-36303967|cCREs2831	M1
chr13:6341159-6341658|cCREs61210	M1
chr13:6493043-6493542|cCREs61240	M1
chr13:6659447-6659946|cCREs61273	M1
chr13:68603215-68603714|cCREs67850	M1
chr13:68815850-68816349|cCREs67885	M1
chr13:68890015-68890514|cCREs67904	M1
chr13:68906751-68907250|cCREs67905	M1
chr1:36939563-36940062|cCREs2945	M1
chr1:37678434-37678933|cCREs3052	M1
chr1:37721169-37721668|cCREs3061	M1
chr1:37725822-37726321|cCREs3062	M1
chr13:80886078-80886577|cCREs69007	M1
chr13:85127088-85127587|cCREs69449	M1
chr1:38627495-38627994|cCREs3202	M1
chr1:38987624-38988123|cCREs3257	M1
chr13:91908331-91908830|cCREs69898	M1
chr13:92426828-92427327|cCREs69976	M1
chr13:93010637-93011136|cCREs70078	M1
chr13:93058629-93059128|cCREs70088	M1
chr13:93211856-93212355|cCREs70114	M1
chr13:95719805-95720304|cCREs70438	M1
chr13:95961547-95962046|cCREs70488	M1
chr1:39650124-39650623|cCREs3386	M1
chr1:39988972-39989471|cCREs3456	M1
chr14:103440378-103440877|cCREs83140	M1
chr14:116926992-116927491|cCREs84056	M1
chr14:116938249-116938748|cCREs84058	M1
chr1:42259718-42260217|cCREs3710	M1
chr14:24004199-24004698|cCREs75417	M1
chr14:24490575-24491074|cCREs75471	M1
chr14:25313186-25313685|cCREs75608	M1
chr14:25461164-25461663|cCREs75634	M1
chr14:25654620-25655119|cCREs75683	M1
chr1:42686181-42686680|cCREs3783	M1
chr1:42686825-42687324|cCREs3784	M1
chr14:26969914-26970413|cCREs75797	M1
chr1:42711128-42711627|cCREs3791	M1
chr1:42714533-42715032|cCREs3793	M1
chr14:30716203-30716702|cCREs76316	M1
chr1:43092414-43092913|cCREs3845	M1
chr1:43137509-43138008|cCREs3854	M1
chr14:31662020-31662519|cCREs76444	M1
chr14:33939262-33939761|cCREs76736	M1
chr14:34363175-34363674|cCREs76772	M1
chr14:34501943-34502442|cCREs76796	M1
chr14:34616949-34617448|cCREs76811	M1
chr14:45388814-45389313|cCREs77448	M1
chr14:46884987-46885486|cCREs77610	M1
chr14:52013964-52014463|cCREs78105	M1
chr14:54603366-54603865|cCREs78286	M1
chr14:54653708-54654207|cCREs78296	M1
chr14:54893856-54894355|cCREs78335	M1
chr14:55053840-55054339|cCREs78360	M1
chr14:57881920-57882419|cCREs78688	M1
chr14:64589622-64590121|cCREs79550	M1
chr14:65098060-65098559|cCREs79630	M1
chr14:66157481-66157980|cCREs79760	M1
chr14:66161224-66161723|cCREs79761	M1
chr14:66234339-66234838|cCREs79776	M1
chr14:66260377-66260876|cCREs79784	M1
chr14:66265894-66266393|cCREs79786	M1
chr14:66279112-66279611|cCREs79789	M1
chr14:66911998-66912497|cCREs79916	M1
chr14:69861536-69862035|cCREs80182	M1
chr14:70001790-70002289|cCREs80203	M1
chr14:70458887-70459386|cCREs80279	M1
chr14:70629507-70630006|cCREs80322	M1
chr14:88469508-88470007|cCREs82123	M1
chr14:88470008-88470507|cCREs82124	M1
chr1:5019376-5019875|cCREs136	M1
chr15:100983825-100984324|cCREs95726	M1
chr15:101845966-101846465|cCREs95832	M1
chr15:101988215-101988714|cCREs95846	M1
chr15:102065738-102066237|cCREs95853	M1
chr15:102224571-102225070|cCREs95881	M1
chr15:102246367-102246866|cCREs95885	M1
chr15:102247050-102247549|cCREs95886	M1
chr15:102510725-102511224|cCREs95924	M1
chr15:102671056-102671555|cCREs95945	M1
chr15:102673653-102674152|cCREs95947	M1
chr15:102742748-102743247|cCREs95965	M1
chr15:11753335-11753834|cCREs85856	M1
chr15:25221887-25222386|cCREs86752	M1
chr15:31337542-31338041|cCREs87545	M1
chr15:31393454-31393953|cCREs87561	M1
chr15:31398826-31399325|cCREs87563	M1
chr15:31417894-31418393|cCREs87567	M1
chr15:31428697-31429196|cCREs87571	M1
chr15:3581978-3582477|cCREs85151	M1
chr15:36141693-36142192|cCREs88049	M1
chr15:37673594-37674093|cCREs88297	M1
chr15:38299029-38299528|cCREs88376	M1
chr15:38406268-38406767|cCREs88394	M1
chr15:38910772-38911271|cCREs88452	M1
chr15:38914959-38915458|cCREs88453	M1
chr15:38938529-38939028|cCREs88461	M1
chr15:4027304-4027803|cCREs85173	M1
chr15:40656045-40656544|cCREs88645	M1
chr15:44869108-44869607|cCREs89056	M1
chr15:45016840-45017339|cCREs89076	M1
chr15:45115789-45116288|cCREs89087	M1
chr15:57693146-57693645|cCREs90014	M1
chr15:57842302-57842801|cCREs90065	M1
chr15:58344072-58344571|cCREs90162	M1
chr15:58770111-58770610|cCREs90242	M1
chr15:59415510-59416009|cCREs90357	M1
chr15:59530974-59531473|cCREs90382	M1
chr15:59622157-59622656|cCREs90404	M1
chr15:61987038-61987537|cCREs90663	M1
chr15:66513408-66513907|cCREs91229	M1
chr15:66682257-66682756|cCREs91250	M1
chr15:71678728-71679227|cCREs91820	M1
chr15:72542236-72542735|cCREs91917	M1
chr15:72809930-72810429|cCREs91961	M1
chr15:72810649-72811148|cCREs91962	M1
chr15:72849938-72850437|cCREs91969	M1
chr15:73840725-73841224|cCREs92127	M1
chr15:73997353-73997852|cCREs92150	M1
chr15:74329185-74329684|cCREs92200	M1
chr15:74561076-74561575|cCREs92241	M1
chr15:74567788-74568287|cCREs92245	M1
chr15:74594177-74594676|cCREs92250	M1
chr15:74664018-74664517|cCREs92266	M1
chr15:74664523-74665022|cCREs92267	M1
chr15:74667685-74668184|cCREs92269	M1
chr15:74673426-74673925|cCREs92271	M1
chr15:74676928-74677427|cCREs92272	M1
chr15:74677476-74677975|cCREs92273	M1
chr15:74679124-74679623|cCREs92274	M1
chr15:75714997-75715496|cCREs92352	M1
chr15:75818629-75819128|cCREs92371	M1
chr15:76239259-76239758|cCREs92432	M1
chr15:76519875-76520374|cCREs92474	M1
chr15:76523205-76523704|cCREs92476	M1
chr15:76656910-76657409|cCREs92491	M1
chr15:76715267-76715766|cCREs92503	M1
chr15:76722154-76722653|cCREs92504	M1
chr15:78437873-78438372|cCREs92750	M1
chr15:78541200-78541699|cCREs92762	M1
chr15:78543032-78543531|cCREs92763	M1
chr15:79441998-79442497|cCREs92930	M1
chr15:79511635-79512134|cCREs92949	M1
chr15:79774456-79774955|cCREs92992	M1
chr15:79882687-79883186|cCREs93006	M1
chr15:79883443-79883942|cCREs93007	M1
chr15:79932649-79933148|cCREs93013	M1
chr15:80083300-80083799|cCREs93040	M1
chr15:80088721-80089220|cCREs93041	M1
chr15:80098639-80099138|cCREs93046	M1
chr15:80101017-80101516|cCREs93047	M1
chr15:81523125-81523624|cCREs93256	M1
chr15:81694408-81694907|cCREs93265	M1
chr15:81745847-81746346|cCREs93273	M1
chr15:81810673-81811172|cCREs93281	M1
chr15:81811342-81811841|cCREs93282	M1
chr15:81831507-81832006|cCREs93284	M1
chr15:81856194-81856693|cCREs93289	M1
chr15:81860016-81860515|cCREs93291	M1
chr15:82016207-82016706|cCREs93324	M1
chr15:82277599-82278098|cCREs93371	M1
chr15:82345902-82346401|cCREs93375	M1
chr15:82963842-82964341|cCREs93417	M1
chr15:85177699-85178198|cCREs93764	M1
chr15:85653449-85653948|cCREs93845	M1
chr15:85670807-85671306|cCREs93849	M1
chr15:88829827-88830326|cCREs94227	M1
chr15:88863935-88864434|cCREs94235	M1
chr15:88891083-88891582|cCREs94239	M1
chr15:89075932-89076431|cCREs94249	M1
chr15:89146789-89147288|cCREs94261	M1
chr15:89180731-89181230|cCREs94269	M1
chr15:91301366-91301865|cCREs94478	M1
chr15:91373436-91373935|cCREs94494	M1
chr15:97831508-97832007|cCREs95274	M1
chr15:97849637-97850136|cCREs95278	M1
chr15:98567832-98568331|cCREs95350	M1
chr15:98993183-98993682|cCREs95428	M1
chr15:99260046-99260545|cCREs95461	M1
chr15:99501934-99502433|cCREs95497	M1
chr15:99665090-99665589|cCREs95532	M1
chr15:99669028-99669527|cCREs95533	M1
chr15:99703983-99704482|cCREs95541	M1
chr15:99714989-99715488|cCREs95544	M1
chr15:99715507-99716006|cCREs95545	M1
chr15:99972737-99973236|cCREs95576	M1
chr16:10786435-10786934|cCREs96902	M1
chr16:17208901-17209400|cCREs97537	M1
chr16:17222288-17222787|cCREs97539	M1
chr16:17277986-17278485|cCREs97545	M1
chr16:17542780-17543279|cCREs97579	M1
chr16:17807575-17808074|cCREs97624	M1
chr16:17833761-17834260|cCREs97627	M1
chr16:17921879-17922378|cCREs97638	M1
chr16:18066317-18066816|cCREs97654	M1
chr16:18131675-18132174|cCREs97664	M1
chr16:18153151-18153650|cCREs97669	M1
chr16:18154553-18155052|cCREs97670	M1
chr16:18198058-18198557|cCREs97682	M1
chr16:18451988-18452487|cCREs97728	M1
chr16:18620271-18620770|cCREs97744	M1
chr16:18620777-18621276|cCREs97745	M1
chr16:18626480-18626979|cCREs97747	M1
chr16:18628666-18629165|cCREs97748	M1
chr16:20696039-20696538|cCREs97879	M1
chr16:20716126-20716625|cCREs97886	M1
chr16:30067065-30067564|cCREs99034	M1
chr16:30520348-30520847|cCREs99093	M1
chr16:30532137-30532636|cCREs99096	M1
chr16:30983297-30983796|cCREs99163	M1
chr16:31428671-31429170|cCREs99244	M1
chr16:31429769-31430268|cCREs99245	M1
chr16:31944097-31944596|cCREs99323	M1
chr16:32868305-32868804|cCREs99414	M1
chr16:35981582-35982081|cCREs99877	M1
chr16:37584821-37585320|cCREs100000	M1
chr16:37617915-37618414|cCREs100009	M1
chr16:37636280-37636779|cCREs100013	M1
chr16:37682706-37683205|cCREs100022	M1
chr16:37704973-37705472|cCREs100030	M1
chr16:43932852-43933351|cCREs100775	M1
chr16:44277332-44277831|cCREs100823	M1
chr16:44530832-44531331|cCREs100860	M1
chr16:44716472-44716971|cCREs100898	M1
chr16:4475042-4475541|cCREs96156	M1
chr16:4512697-4513196|cCREs96163	M1
chr16:4551193-4551692|cCREs96169	M1
chr16:4586616-4587115|cCREs96174	M1
chr16:4913818-4914317|cCREs96226	M1
chr16:52428559-52429058|cCREs101642	M1
chr16:67643714-67644213|cCREs102743	M1
chr1:66816156-66816655|cCREs6326	M1
chr16:85061680-85062179|cCREs104064	M1
chr16:89921497-89921996|cCREs104538	M1
chr16:90142381-90142880|cCREs104584	M1
chr16:90709792-90710291|cCREs104693	M1
chr1:69105810-69106309|cCREs6530	M1
